City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
222,Bolong,PH,79.75,overcast clouds,7.0983,122.2392,𝙅𝙀𝙈𝙋 𝘽𝙚𝙖𝙘𝙝 𝙍𝙚𝙨𝙤𝙧𝙩
231,San Policarpo,PH,77.99,broken clouds,12.1791,125.5072,Agapita M. Nicart
232,Astoria,US,70.14,few clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
237,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
239,Itoman,JP,81.37,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
244,Hambantota,LK,78.15,overcast clouds,6.1241,81.1185,Bungalow 63
245,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
246,Sterling,US,70.0,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
250,Fare,PF,78.94,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
254,Zamania,IN,70.32,clear sky,25.4333,83.5667,A to Z online (chandan)
255,Koungou,YT,73.11,clear sky,-12.7336,45.2042,Villa Netibor
256,Cacahuatepec,MX,83.26,moderate rain,16.8861,-99.6106,Apanhuc
259,Banda Aceh,ID,79.39,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
266,Kouango,CF,72.37,overcast clouds,4.9934,19.9619,
267,Balabac,PH,81.07,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
270,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
276,Emmett,US,77.09,clear sky,43.8735,-116.4993,Holiday Motel & R.V Park
277,Samarai,PG,81.52,broken clouds,-10.6167,150.6667,Nuli Sapi
280,Iraray,PH,77.54,overcast clouds,8.9936,118.0511,
282,Kieta,PG,81.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
283,Sinnamary,GF,81.28,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
287,Atakpame,TG,71.71,broken clouds,7.5333,1.1333,Sossahoe
289,Namatanai,PG,81.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
292,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
293,Tabuk,PH,71.62,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
296,Tres Picos,MX,83.37,moderate rain,15.8667,-93.5333,Tres picos Chiapas
298,Paka,MY,75.13,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
302,Trinidad,BO,84.18,moderate rain,-14.8333,-64.9,Hotel Piesta
305,Flagstaff,US,75.52,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
310,Deming,US,75.92,overcast clouds,32.2687,-107.7586,Best Western Deming Southwest Inn
312,Manokwari,ID,79.27,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
315,Ha Tinh,VN,71.51,overcast clouds,18.3333,105.9,Phú Quý
318,Auki,SB,80.28,overcast clouds,-8.7676,160.7034,Auki Motel
319,Cabedelo,BR,77.81,clear sky,-6.9811,-34.8339,Pousada Camboinha
320,Bathsheba,BB,81.61,few clouds,13.2167,-59.5167,Atlantis Hotel
321,San Miguel,SV,84.43,overcast clouds,13.4833,-88.1833,Excalibur
327,Faanui,PF,79.05,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
328,Tual,ID,82.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
330,Faro,PT,73.18,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
331,Mackay,AU,72.68,clear sky,-21.15,149.2,International Lodge Motel
336,Bentiu,SS,73.51,overcast clouds,9.2333,29.8333,Mandela hôtel
338,Nalut,LY,73.45,clear sky,30.3333,10.85,
339,Kirakira,SB,82.51,overcast clouds,-10.4544,161.9205,SanBiz Lodge
340,Salinas,US,76.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
341,Basco,PH,79.79,light rain,20.4487,121.9702,Nathaniel's Lodge
342,Kawalu,ID,71.73,overcast clouds,-7.3817,108.2082,West Jontor
344,Chalus,IR,70.16,few clouds,36.655,51.4204,Rama Spa
345,Yanam,IN,75.9,light rain,16.7333,82.2167,The Regency Hotel
346,Kimbe,PG,78.03,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
347,Lubao,PH,76.6,light rain,14.9167,120.55,Hacienda Gracia
348,Beloha,MG,73.62,clear sky,-25.1667,45.05,
351,Barpeta,IN,74.17,clear sky,26.3167,91.0,Baba Ka Dhaba Hotel
352,Vila Do Maio,CV,77.95,overcast clouds,15.1333,-23.2167,Hotel Marilu
354,Parrita,CR,79.12,broken clouds,9.5201,-84.3225,Beso del Viento
358,Oussouye,SN,80.19,overcast clouds,12.485,-16.5469,Auberge du Routard
361,Dingle,PH,75.72,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
364,Caravelas,BR,74.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
374,Jalu,LY,73.8,overcast clouds,29.0331,21.5482,صاحبة الفخامة
376,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
377,Conde,BR,75.31,clear sky,-7.2597,-34.9075,Pousada Beija Flor
378,Shush,IR,83.25,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
380,Makakilo City,US,84.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
381,Rancho Palos Verdes,US,73.92,overcast clouds,33.7445,-118.387,Terranea Resort
387,Iracoubo,GF,80.74,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
389,Mayor Pablo Lagerenza,PY,83.44,overcast clouds,-19.9309,-60.7718,
391,Kalmunai,LK,76.98,moderate rain,7.4167,81.8167,VS Villa
392,Sechura,PE,75.36,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
394,Bang Saphan,TH,74.08,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
395,Nkhotakota,MW,74.25,clear sky,-12.9274,34.2961,Sitima Inn
399,Amalapuram,IN,74.57,moderate rain,16.5833,82.0167,swayamprabha service apartments
401,Linares,CL,70.0,clear sky,-35.85,-71.6,Hotel Real
404,Marsh Harbour,BS,81.14,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
405,Lorengau,PG,82.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
414,Gamba,GA,76.53,light rain,-2.65,10.0,
415,Diapaga,BF,77.67,overcast clouds,12.0708,1.7889,Hôtel GACILIE
416,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
419,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
420,Sijunjung,ID,70.54,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
427,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
428,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
430,Bilma,NE,82.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
431,Encruzilhada,BR,73.67,scattered clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
433,Adre,TD,78.49,clear sky,13.4667,22.2,
434,Poum,NC,73.53,scattered clouds,-20.2333,164.0167,
438,Rio Verde De Mato Grosso,BR,82.74,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
439,Bandarbeyla,SO,76.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
441,Santa Isabel Do Rio Negro,BR,82.85,moderate rain,-0.4139,-65.0192,Hotel GSA
442,La Orilla,MX,83.71,light rain,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
443,Buchanan,LR,76.39,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
444,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
447,Sirpur,IN,72.64,scattered clouds,19.4833,79.6,Laxmipera
448,Pucallpa,PE,75.24,light rain,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
454,Belmonte,BR,75.02,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
