City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
111,Cabo San Lucas,MX,22.8909,-109.9124,89.62,54,0,14.97,clear sky
112,Flin Flon,CA,54.7682,-101.865,37.24,81,100,8.05,overcast clouds
113,Kapuskasing,CA,49.4169,-82.4331,46.4,76,75,12.66,broken clouds
114,Saskylakh,RU,71.9167,114.0833,21.15,91,100,11.86,overcast clouds
115,Port Blair,IN,11.6667,92.75,79.56,81,77,3.96,broken clouds
116,Posse,BR,-14.0931,-46.3694,86.34,20,47,6.2,scattered clouds
117,Yaring,TH,6.8662,101.3689,75.63,89,85,6.31,overcast clouds
118,Dicabisagan,PH,17.0818,122.4157,76.64,89,84,6.46,broken clouds
119,Belyy Yar,RU,53.6039,91.3903,25.86,96,0,2.24,clear sky
120,Upernavik,GL,72.7868,-56.1549,26.49,88,97,18.05,overcast clouds
121,Padang,ID,-0.9492,100.3543,76.1,86,100,2.35,overcast clouds
122,Qaanaaq,GL,77.484,-69.3632,12.7,82,36,4.56,scattered clouds
123,Faya,SA,18.3851,42.4509,60.91,49,7,3.69,clear sky
124,Tikapur,NP,28.5,81.1333,68.83,90,0,3.11,clear sky
125,Mahebourg,MU,-20.4081,57.7,71.89,68,40,14.97,scattered clouds
126,Vilyuysk,RU,63.7553,121.6247,22.15,95,93,4.88,overcast clouds
127,Iqaluit,CA,63.7506,-68.5145,29.93,93,75,8.05,broken clouds
128,Kununurra,AU,-15.7667,128.7333,78.78,73,97,4.61,overcast clouds
129,Margate,GB,51.3813,1.3862,56.88,90,87,1.01,overcast clouds
130,Riberalta,BO,-10.9833,-66.1,88.0,62,75,4.61,broken clouds
131,Narsaq,GL,60.9167,-46.05,18.16,68,0,6.78,clear sky
132,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,13.8,scattered clouds
133,Longyearbyen,SJ,78.2186,15.6401,18.39,88,100,1.36,overcast clouds
134,Adrar,MR,20.5022,-10.0711,88.52,19,100,11.68,overcast clouds
135,Vanimo,PG,-2.6741,141.3028,77.02,92,99,5.95,overcast clouds
136,Srednekolymsk,RU,67.45,153.6833,9.3,96,100,6.35,overcast clouds
137,Nikolskoye,RU,59.7035,30.7861,48.09,82,100,7.14,overcast clouds
138,Cidreira,BR,-30.1811,-50.2056,60.85,73,95,17.67,overcast clouds
139,Cocal,BR,-28.6167,-49.35,60.33,95,100,5.08,overcast clouds
140,Kota Bahru,MY,6.1333,102.2386,76.95,94,20,0.0,few clouds
141,Presidente Medici,BR,-11.1753,-61.9014,79.79,72,87,3.18,overcast clouds
142,Kedrovyy,RU,56.1667,91.8167,28.87,89,12,4.14,few clouds
143,Port Hedland,AU,-20.3167,118.5667,60.85,82,6,4.61,clear sky
144,Jamestown,US,42.097,-79.2353,58.01,33,75,13.0,broken clouds
145,Padre Bernardo,BR,-15.35,-48.5,88.61,18,13,4.74,few clouds
146,Gorontalo,ID,0.5412,123.0595,75.74,91,100,2.55,overcast clouds
147,Mount Isa,AU,-20.7333,139.5,69.57,56,55,6.91,broken clouds
148,Tuatapere,NZ,-46.1333,167.6833,53.87,50,0,3.56,clear sky
149,Bredasdorp,ZA,-34.5322,20.0403,57.7,83,100,10.4,light rain
150,Guerrero Negro,MX,27.9769,-114.0611,72.18,65,92,13.27,overcast clouds
151,Lavrentiya,RU,65.5833,-171.0,27.54,79,34,4.54,scattered clouds
152,Goderich,CA,43.7501,-81.7165,55.9,35,96,17.27,overcast clouds
153,Evensk,RU,61.95,159.2333,20.88,78,78,9.06,broken clouds
154,Chuy,UY,-33.6971,-53.4616,55.72,59,13,10.38,few clouds
155,Touros,BR,-5.1989,-35.4608,78.04,75,0,17.07,clear sky
156,Naze,JP,28.3667,129.4833,77.92,89,95,16.62,light rain
157,College,US,64.8569,-147.8028,29.21,81,4,2.66,clear sky
158,Newport,GB,51.5877,-2.9984,57.74,87,31,10.33,scattered clouds
159,Kavaratti,IN,10.5669,72.642,81.25,70,81,3.58,light rain
160,Opuwo,NA,-18.0607,13.84,76.39,39,75,9.6,broken clouds
161,Neiafu,TO,-18.65,-173.9833,79.48,89,75,6.91,broken clouds
162,Yumen,CN,40.2833,97.2,45.54,34,100,11.12,overcast clouds
163,San Andres,CO,12.5847,-81.7006,86.02,74,40,9.22,scattered clouds
164,Bundaberg,AU,-24.85,152.35,72.21,88,100,1.01,overcast clouds
165,Rio Gallegos,AR,-51.6226,-69.2181,68.05,28,40,27.63,scattered clouds
166,Dusti,TJ,37.3481,68.664,60.91,15,4,5.7,clear sky
167,Marapanim,BR,-0.7175,-47.6997,81.48,69,34,8.77,scattered clouds
168,Palana,RU,59.1167,159.9667,32.16,98,100,2.48,light snow
169,Kodiak,US,57.79,-152.4072,45.45,80,100,23.78,light rain
170,San Clemente,US,33.427,-117.612,73.85,90,9,1.99,clear sky
171,Kruisfontein,ZA,-34.0033,24.7314,59.49,92,100,14.9,overcast clouds
172,Nipawin,CA,53.3668,-104.0009,48.24,46,0,12.66,clear sky
173,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,83,75,19.57,broken clouds
